mode,node_id
Walk,62208369
Walk,276310679
Walk,4399280673
Walk,276310678
Walk,62345201
Walk,62345200
Walk,62345199
Walk,62345198
Walk,62345196
Walk,62345194
Walk,4399280678
Walk,276310748
Walk,62345192
Walk,364008038
Walk,364008039
Walk,258597541
Walk,276310738
Walk,62477353
Walk,62477355
Walk,291406312
Walk,62224307
Walk,4399281325
Walk,62477357
Walk,4399281355
Walk,95705298
Walk,4399281372
Walk,95707014
Walk,4399281381
Walk,4399281385
Walk,3937107173
Walk,1853579923
Walk,1853579915
Walk,1853579919
Walk,256042086
Walk,1893016435
Walk,1893016439
Walk,1893016443
Walk,1893016446
Walk,3937107132
Walk,1893016448
Walk,3937107143
Walk,1893016451
Walk,1893016455
Walk,95708422
Walk,1893016459
Walk,1893016461
Walk,256042113
Walk,1893016466
Walk,1893016467
Walk,1893016468
Walk,95708423
Walk,95706377
Walk,366760741
Walk,267425880
Walk,5027298052
Walk,366760742
Walk,5027298053
Walk,5027298055
Walk,265672728
Walk,2599137932
Walk,95706378
Walk,2599137939
Walk,2607436597
Walk,5027298043
Walk,2599137940
Walk,95714494
Walk,288372678
Walk,288372679
Walk,95722049
Walk,95714618
Walk,288372713
Walk,95714619
Walk,288372812
Walk,95714622
Walk,288372764
Walk,95714623
Walk,95713498
Walk,95713499
Walk,95713500
Walk,95718535
Walk,2562376341
Walk,2562376342
Walk,95718536
Walk,2562376327
Walk,256192150
Walk,2562376328
Walk,2562376329
Walk,256192151
Walk,276495594
Walk,2562376330
Walk,95719927
Walk,95718020
Walk,5674148937
Walk,95718594
Walk,272162122
Walk,2590587358
Walk,95719941
Walk,5674150454
Walk,5287982015
Walk,272161926
Walk,4924137213
Walk,1815032088
Walk,2195113333
Walk,2195113334
Walk,1366303489
Walk,272162096
Walk,95709168
Walk,95709169
Walk,95719853
Walk,2560305193
Walk,95719943
Walk,95711363
Walk,2560305210
Walk,2560305209
Walk,4008256656
Walk,256219342
Walk,3938923872
Walk,2578982361
Walk,2578982357
Walk,2578982358
Walk,2578982916
Walk,2578982917
Walk,1918190430
Walk,1918190432
Walk,5438999053
Walk,95708146
Walk,1918190435
Walk,1918190438
Walk,1918190440
Walk,1918190443
Walk,1918174653
Walk,1918174654
Walk,95712139
Walk,1918174661
Walk,525782800
Walk,2557647251
Walk,256219131
Walk,5623317950
Walk,5623317951
Walk,282318813
Walk,3897712341
Walk,265500400
Walk,95714168
Walk,5553493309
Walk,5553493310
Walk,5553493311
Walk,1895987437
Walk,5553493312
Walk,5553493313
Walk,1918200474
Walk,2928547680
Walk,1918200515
